日期,類型,主題,連結,內容,講者
"Wednesday, May 22",Breakout,AI Everywhere – Accelerate your development from the edge to cloud,https://build.microsoft.com/en-US/sessions/d70bd37a-9846-4891-80df-35206856011c?source=sessions,"AI: edge to cloud. 
Use ONNX RT with DirectML and OpenVINO EP to accelerate generative AI models on edge devices. Accelerate cloud development and deployment using industry certified VM images. See how companies like F5 can make transition to the cloud easier while having access to Azure first party services like Azure Monitor with NGINX.",Lior Kamrat
"Wednesday, May 22",Keynote,Microsoft Build opening keynote,https://build.microsoft.com/en-US/sessions/b49feb31-afcd-4217-a538-d3ca1d171198?source=sessions,"Join Satya Nadella, Rajesh Jha, and Kevin Scott to learn how this era of AI will unlock new opportunities, transform how developers work and drive business productivity across industries.",Satya Nadella
"Wednesday, May 22",Lab,Mastering GitHub Copilot for AI Paired Programming,https://build.microsoft.com/en-US/sessions/21f62cfe-4420-40bc-a2cd-9226bc3ba2cf?source=sessions,"Unlock the power of collaborative coding with this program that seamlessly integrates AI-driven coding assistance using GitHub Copilot. Dive deep into GitHub Copilot's autocompletion, customizable features, and advanced programming techniques, all while embracing AI-driven algorithms. From error handling to unit testing, this program is tailored to instill best practices and enhance code quality, equipping you with the tools needed for success in today's dynamic software development landscape.",Brian Randell
"Wednesday, May 22",Lab,Learn how to interact with Large Language Models,https://build.microsoft.com/en-US/sessions/9ed64500-857d-4917-acef-13cf5c0bf67d?source=sessions,"This lab provides a hands-on and engaging learning opportunity for working with Large Language Models. Learn how to use methods such as few-shot learning and chain of thought. See the creative possibilities of generative AI for image creation and multi-modal scenarios, master the skill of function calling and understand how the model can apply existing knowledge.",Henk Boelman
"Wednesday, May 22",Lab,Developing a custom control using the Power Apps Component Framework,https://build.microsoft.com/en-US/sessions/2b9ea5ae-e1c1-4dc4-bdfd-234a5fa86a08?source=sessions,"Learn how to build a custom component control using Power Apps Component Framework (PCF). In this workshop, you'll create a custom component control using PCF to visualize permit inspection history timelines. This workshop provides hands-on experience with PCF and demonstrates how to build powerful custom controls for Power Apps.",
"Wednesday, May 22",Breakout,What's new with Microsoft Copilot Studio,https://build.microsoft.com/en-US/sessions/c0dc5cbb-8cfd-4fce-a2da-10586333584a?source=sessions,"Discover the latest advancements in Copilot Studio, enabling you to customize Microsoft Copilot or create your own copilot experiences. See the latest updates come to life as to how Copilot Studio is enriching its knowledge, and broadening its generative AI and development capabilities. Don’t miss this opportunity to see Copilot Studio in action and explore its potential for your organization.",Dewain Robinson
"Wednesday, May 22",Breakout,Unlock potential on Azure with Microsoft Copilot,https://build.microsoft.com/en-US/sessions/6a191050-d6c0-41d3-a182-f292fbdd6dd3?source=sessions,"Join us as we unveil the latest advancements in Microsoft Copilot within Azure. If you’re a developer, cloud admin, or database administrator, this session is for you! Discover how you can streamline onboarding, enhance troubleshooting, and unlock cutting-edge capabilities across services like AKS, SQL, Arc, CosmosDB, Cost Management, and App Services. Plus, leverage Copilot’s rich abilities to create CLI and Terraform scripts for efficient management.",Ruhiyyih Mahalati
"Wednesday, May 22",Breakout,Power the next generation of AI apps with databases at scale anywhere,https://build.microsoft.com/en-US/sessions/e8c67bb9-4b32-43fe-8739-8b6769537111?source=sessions,"Introducing a new era of cloud databases, an era where databases are built and tuned for AI apps with hyperscale performance, built-in intelligence, Copilot assistants, vector search, and Azure AI Search integration to set the foundation for innovating with AI and make app development easy. Join Shireesh Thota, Global CVP Azure Databases, to learn how to transform business apps with AI, extend your on-premises investments and modernize your workloads for growth.",Shireesh Thota
"Wednesday, May 22",Breakout,"Maximize joy, minimize toil with great developer experiences",https://build.microsoft.com/en-US/sessions/80558a0c-7ea0-4949-8c50-e7bead5ea8cc?source=sessions,"Focusing on the developer experience is at the heart of what we do at Microsoft. The landscape is changing and the applications you build will continue to require rethinking not just what kind of app you build, but also how you build it. Join Amanda Silver as she covers the latest evolution in developer tools and how we collaborate across the entire technology spectrum to build the next generation of modern apps, intelligent apps.",Amanda Silver
"Wednesday, May 22",Breakout,Inside AI Security with Mark Russinovich,https://build.microsoft.com/en-US/sessions/d29a16d5-f9ea-4f5b-9adf-fae0bd688ff3?source=sessions,"Join Mark Russinovich to explore the landscape of AI security, focusing on threat modeling, defense tactics, our red teaming approaches, and the path to confidential AI. You will learn about various kinds of attacks in AI systems and our defenses, such as backdoors, poison data, prompt injection attacks, and more.",Mark Russinovich
"Wednesday, May 22",Breakout,Innovating Inclusive Tech: learning from the past to unlock the future,https://build.microsoft.com/en-US/sessions/1d939482-14c9-4cc5-a470-f2e1330f853b?source=sessions,"For many people, the technology we use and the devices we own are extensions of ourselves. We want not just personalization but also experiences that delight and enable our best work. For decades, Microsoft has been advancing inclusive experiences in tech. Join a panel of experts, from engineering and research to gaming and diversity & inclusion, to discover how we collaborate and co-create across communities to enrich our product portfolio and accelerate inclusion, especially in this AI era.",Lindsay Rae McIntyre
"Wednesday, May 22",Demo,Employ AI on Snapdragon X Elite for code generation and image creation,https://build.microsoft.com/en-US/sessions/7db65c00-fb85-4be4-9fad-670926b4cec4?source=sessions,"Explore the cutting-edge AI capabilities of the Snapdragon X Elite chipset as we demonstrate its integration with popular development tools. Witness firsthand how AI plugins enhance the functionality of VSCode and Gimp, streamlining workflows and fostering innovation.",
"Wednesday, May 22",Demo,Build Copilot plugins in 10 minutes with VS Code,https://build.microsoft.com/en-US/sessions/a42d6300-ed83-4141-abd3-24b44df94847?source=sessions,"Learn how easy it is to create a plugin for Copilot using an ordinary REST service, VS Code and Teams Toolkit.",Bob German
"Wednesday, May 22",Demo,GenAI Gateway Capabilities in Azure API Management,https://build.microsoft.com/en-US/sessions/14454335-7330-45b2-897e-9664df195f97?source=sessions,"We will demonstrate how API Management can be configured for authentication and authorization for OpenAI endpoint, enforcing rate limits based on OpenAI tokens used, load balancing across multiple OpenAI endpoints and more.",Nima Kamoosi
"Wednesday, May 22",Breakout,Accelerate model deployment with Qualcomm AI Hub,https://build.microsoft.com/en-US/sessions/ff420023-a836-4843-8aaf-00c1f8141b4d?source=sessions,"In this session, we empower developers, machine learning engineers and AI/ML application developers with knowledge and tools to efficiently deploy optimized models on Snapdragon X-Elite using the Qualcomm AI Hub. We’ll begin with an introduction to the Qualcomm AI Hub, then walk through examples showing how to optimize models using the AI Hub. Understand how you can streamline the deployment process, enabling you to bring your AI apps to life in a matter of minutes.",Devang Aggarwal
"Wednesday, May 22",Demo,Leverage AI-driven assistant to improve results and speed-up workflow,https://build.microsoft.com/en-US/sessions/ac33065a-67bf-4357-adb0-8e87bd803bec?source=sessions,"There’s no denying that AI is changing the way we develop software and  the use of generative AI models is the wave of the future. Today, AI combined with natural language tools is allowing professionals of all skill sets to design, deliver and improve technology.
In this session learn how Postbot (an AI powered assistant) can help users of all technical ability:
Generate comprehensive API documentation with a single click
Design better test cases for API calls
Speed up your API testing workflow",Sterling Chin
"Wednesday, May 22",Demo,AutoGen: Empowering Next-Gen Multi-Agent LLM Apps,https://build.microsoft.com/en-US/sessions/d8865dee-5c68-4cd2-ab5d-b2f87e681621?source=sessions,The future of AI applications lies in Multi-Agent LLM applications and AutoGen is at the forefront of simplifying their implementation. The demo will showcase the power of the Multi-Agent Conversation design pattern using OpenAI Models and the AutoGen framework. We will illustrate how a team of three member agents and one manager agent collaboratively engage in a group conversation to efficiently solve a complex user task.,Cameron Vetter
"Wednesday, May 22",Demo,Microsoft Surface Innovation in Action,https://build.microsoft.com/en-US/sessions/a7d608cb-f04e-4823-a087-b5038ae361a2?source=sessions,Participate in live demonstrations showcasing Surface innovation and engage with experts,
"Wednesday, May 22",Demo,Extend your Copilot with plugins using Copilot Studio,https://build.microsoft.com/en-US/sessions/19764452-c0b7-4bf4-88d6-5f5574f7ac0d?source=sessions,"Copilot with plugins empowers developers to tailor their suggestions and integrate additional features and data sources seamlessly into their Copilot at work. In this demo you will see the potential of plugins in extending Copilot's capabilities and enhancing developer productivity, how plugins can enhance automation and functions, the fundamentals of creating custom Copilot plugins using Copilot Studio, and real-world examples of how to leverage plugins to streamline your automation process.",Manpreet Singh
"Wednesday, May 22",Demo,Optimize Azure Infrastructure as Code Deployments with VS Code,https://build.microsoft.com/en-US/sessions/6f402236-c345-4c61-bf71-59bfbec826b8?source=sessions,"This demo shows three  ways to optimize the authoring experience when creating Azure Infrastructure as Code templates using VS Code. We will unravel the magic behind Bicep Templates and show the power of the Bicep VS Code extension to create, maintain, and deploy your templates in a matter of minutes.",Freek Berson
"Wednesday, May 22",Demo,Navigating Microsoft Certifications,https://build.microsoft.com/en-US/sessions/0a7dc35c-2666-4604-b973-50c637e68539?source=sessions,"Microsoft Certifications help validate technical proficiency aligned to the job roles businesses rely on most.

Join us for an engaging demo of all the resources available in Microsoft Learn to help you train your way, build confidence while preparing for your certification exam, and make sure your Microsoft Certification stays current.",Liberty Munson
"Wednesday, May 22",Demo,Transform your RAG deployment at scale with real time results,https://build.microsoft.com/en-US/sessions/ee0f06fb-b255-452a-9c85-97a90ce89223?source=sessions,"Want to learn how to build RAG (retrieval augmented generation) at scale? Attend this demo session where we’ll show you how we built WikiChat, a RAG-based chatbot for Wikipedia which updates in real time. We will demo the application and then roll up our sleeves and dig into the code which uses Microsoft Semantic Kernel, DataStax Astra DB, and Azure OpenAI.",Alex Leventer
"Wednesday, May 22",Demo,Create a fully functional support bot in less than 10 minutes,https://build.microsoft.com/en-US/sessions/d10a4ac1-0684-45b0-abcf-3feddc84e3d3?source=sessions,In this session we will demonstrate how to create a functional chat bot leveraging CoPilot Studio and GenAI all within 10 minutes. We will look at the different ways GenAI can be incorporated into creating your chat bot and how to leverage CoPilot Studio's own copilot functionality to design topics using natural language.,Em D'Arcy
"Wednesday, May 22",Demo,Using Semantic Link in Fabric to Unlock Semantic Models,https://build.microsoft.com/en-US/sessions/c9a18ee1-b28f-43f6-b602-4eb7338b0cdc?source=sessions,"'With semantic link in Fabric, we can unlock Power BI semantic models using Python in notebooks. Prior to semantic link, our options were limited to Power BI desktop, DAX Studio, or Excel. Now we can query the model data and metadata using Python, and even take it a step further to examine the contents of workspaces and link up Power BI models with data science. In this demo you’ll see how easy it is to get started and take analysis to the next level.",Stephanie Bruno
"Wednesday, May 22",Demo,Elevating app craftsmanship with WinUI 3,https://build.microsoft.com/en-US/sessions/c326047b-7cf1-4233-b8a3-8ada6e5b891f?source=sessions,"Looking to elevate your WinUI 3 app on Windows? Jump into Visual Studio with a hands on look at getting started and crafting a great Title Bar experience on Windows using WinUI, whether you're using NavigationView or adding search. Get a headstart on your app and delight your users!",Dom Giandinoto
"Wednesday, May 22",Lab,"Modern Analytics with Microsoft Fabric, Copilot and Azure Databricks",https://build.microsoft.com/en-US/sessions/4940651b-08a8-41ef-88e6-3c4fc7abf526?source=sessions,"This lab showcases Modern Analytics with Microsoft Fabric and Azure Databricks, featuring a cost effective, performance-optimized, and cloud-native Analytics solution pattern. The architecture unifies our customers' data estate to accelerate data value creation. The lab scenario is for Contoso, a fictitious company. You will witness how the team used Azure Databricks, Microsoft Fabric, Copilot and Power BI to create an end-to-end Analytics solution.",Swetha Mannepalli
"Wednesday, May 22",Demo,Building on LLM's - Lessons learned from creating GitHub Copilot,https://build.microsoft.com/en-US/sessions/a5865b48-17d1-4d79-b4c5-ea93122e3921?source=sessions,Dive into the journey of GitHub Copilot and what's under the hood so that you can apply the same patterns and lessons to building your own solutions based on the next generation of generative AI services available from Microsoft Azure.,Scott Densmore
"Wednesday, May 22",Demo,"Imagine Cup: Adalat AI, transforming justice using AI in India",https://build.microsoft.com/en-US/sessions/6e6ffced-277d-4d34-9fba-451e101675ac?source=sessions,"Join us for a demo with Adalat AI and discover how their startup is leveraging AI to solve challenges in India's judicial system. Witness how their technology, including AI-driven transcription tools, is tackling extensive case backlogs and delays, expediting court processes, and enhancing efficiency, accuracy, and access to justice.",
"Wednesday, May 22",Demo,GitHub Copilot can do that!?,https://build.microsoft.com/en-US/sessions/4f7041c8-0449-4b8d-a0a7-ae2ebc4528b5?source=sessions,"Learn how to get the most out of GitHub Copilot, including a few ways that might surprise you! Join our VS Code and GitHub Copilot experts as they walk through some of the newest and least-expected ways to use GitHub Copilot to reduce more of those mundane tasks you’ve been avoiding.",Kedasha Kerr
"Wednesday, May 22",Lab,Taking Azure Kubernetes out of the cloud and into your world,https://build.microsoft.com/en-US/sessions/37d8c9c5-19b0-4568-943e-c50f042a4364?source=sessions,"Experience a hands-on lab on AKS Edge Essentials and the latest Microsoft Edge Storage solution in Kubernetes, featuring an AI-powered sample app, video inference, and computer vision. Learn to deploy, manage, and optimize AI workloads at the edge efficiently. Gain practical insights into the integration of AI with edge computing for real-world applications.",Lior Kamrat
"Wednesday, May 22",Lab,"Build, Evaluate and Deploy a RAG-based retail copilot with Azure AI",https://build.microsoft.com/en-US/sessions/852fa54a-9756-4681-8cd5-ae9632b635ca?source=sessions,"Building generative AI applications for production requires a paradigm shift to LLM Ops, with new tools, platforms and processes for orchestrating end-to-end development workflows. In this session, you’ll learn to build, evaluate and deploy an enterprise copilot application end-to-end, using a code-first approach with Azure AI Studio and Prompt flow. From ideating your scenario with your data, to evaluating it for quality locally and on Azure, then deploying it for real-world usage.",Nitya Narasimhan
"Wednesday, May 22",Lab,Build and deploy serverless apps with Azure Functions and Azure AI,https://build.microsoft.com/en-US/sessions/e3ac0469-bb5f-48ca-a578-5aa7c1436020?source=sessions,"In this lab, experience architecting a serverless solution on Azure for the use case of a tollbooth application that needs to meet on-demand traffic for event driven scale.",Anahita Afshari
"Wednesday, May 22",Lab,Build AI Apps with Azure Cosmos DB for MongoDB and Semantic Kernel,https://build.microsoft.com/en-US/sessions/0e677e3b-46af-441a-a03e-273c34b89292?source=sessions,"Learn how to build AI apps with Azure Cosmos DB for MongoDB and Semantic Kernel. You will create a RAG pattern app over transactional data, generating vectors and completions with Azure OpenAI Service, connect to multiple vectorized data sources, manage chat history and enhance performance with a semantic cache all orchestrated using Semantic Kernel. This session will equip you with the knowledge you need to elevate your AI application development skills.",Gary Hope
"Wednesday, May 22",Breakout,Secure your AI application transformation with Microsoft Security,https://build.microsoft.com/en-US/sessions/fc62adb6-805f-4678-923a-693636c9b9b5?source=sessions,"As AI extends the attack surface of homegrown cloud-native applications, security teams need to expand detection and protection against novel threats such as prompt injection attacks and implement security across enterprise-built AI applications. Join our session to learn how Microsoft’s new cloud security innovations extend security posture management and threat protection to enterprise-built AI applications.",Neta Haiby
"Wednesday, May 22",Breakout,"Multi-model, multimodal, and multi-agent innovations in Azure AI",https://build.microsoft.com/en-US/sessions/ca71b6f0-0525-456d-b58f-a3f63e423647?source=sessions,"Join us at Microsoft Build for ""Multimodal GenAI with Azure AI,"" showcasing Azure OpenAI's breakthroughs. Explore GPT-4, multi-modality, and demos integrating sight and language with Dall-E and Whisper. Learn about developer tools, AI assistants, scalable applications, and customization. Focus on responsible AI, data privacy, and security with Azure. Featuring interactive demos and stories, this session is perfect for developers and innovators.",Marco Casalaina
"Wednesday, May 22",Breakout,Developer experience improvements in Windows,https://build.microsoft.com/en-US/sessions/a1632b50-13ce-4c5b-bff1-bcf9a9484bad?source=sessions,"The Windows team has been listening to developers and has used that feedback to build features in the tools you love: Windows Subsystem for Linux, WinGet, Windows Terminal, Dev Home and PowerToys. Come learn about Sudo for Windows, the configurability and access to dev environments and power user settings in Dev Home, AI feature developments, and much more. We may even have a few new surprises to share to help you be more productive on Windows.",Kayla Cinnamon
"Wednesday, May 22",Breakout,Build Microsoft Copilot extensions with Copilot Studio,https://build.microsoft.com/en-US/sessions/39bc3a2a-638b-4643-98b8-8fb09650c332?source=sessions,"Join us for an in-depth exploration of how to customize Microsoft Copilot for Microsoft 365 and other copilot experiences using Copilot Studio plugins and copilots. In this session, you will learn about the options for extensibility within Copilot Studio to achieve meet your unique needs including a showcase of the latest announcements.",Mike Bassani
"Wednesday, May 22",Breakout,"Build apps from the cloud with Microsoft Dev Box, Visual Studio & more",https://build.microsoft.com/en-US/sessions/3259196a-64f0-4457-9442-3ed269af2cf9?source=sessions,"Learn how to unify ready-to-code development environments with best-in-class dev tools to deliver an unparalleled coding experience for building intelligent applications and more. Give developers the flexibility to use the tools they want within IT guardrails and enable self-service by integrating Microsoft Dev Box with top-tier developer tools like Visual Studio and GitHub Copilot. Plus, streamline test environment provisioning with Azure Deployment Environments.",Anthony Cangialosi
"Wednesday, May 22",Lab,Build and run intelligent apps with AKS and Azure OpenAI Service,https://build.microsoft.com/en-US/sessions/15052143-c1c3-46e3-8d6f-b983ff9b6e5a?source=sessions,"Discover how to create applications on Azure Kubernetes Service (AKS) that incorporate generate AI features. With Azure OpenAI Service, you can integrate various AI models that suit your use case. In this lab you'll develop an application that uses Azure OpenAI Service and authenticate from your app using Microsoft Entra Workload Identity, allowing a completely password-free experience. You'll leave ready to start adding generative AI to your microservices-based applications on AKS.",Sachi Desai
"Wednesday, May 22",Breakout,Optimize productivity by meeting next-level demands of the AI era,https://build.microsoft.com/en-US/sessions/a38babf4-6f4b-4d5a-a710-3f975b39ae01?source=sessions,Accelerate innovation and improve productivity with leadership generative AI accelerators like the AMD Instinct MI300X—through an open and collaborative software ecosystem in AMD ROCm. Find out how the deep partnership between AMD and Microsoft has resulted in a broad range of AI-optimized offerings to meet demands at any scale.,Andrew Dieckmann
"Wednesday, May 22",Breakout,Operationalize AI responsibly with Azure AI Studio,https://build.microsoft.com/en-US/sessions/de3dfc8d-3aaf-4dc2-97c3-5b2937961d54?source=sessions,"Learn what’s new in Azure AI Studio when it comes to supporting generative AI security, privacy, safety and quality in everyday workflows. We’ll explore how  built-in tools and configurable controls for AI governance can help your organization shift from reactive risk management to a more agile, responsible-by-design approach for greater observability, efficiency, and confidence.",Sarah Bird
"Wednesday, May 22",Breakout,"Ingest, analyze and act in real time with Microsoft Fabric",https://build.microsoft.com/en-US/sessions/2b5c3675-36e7-4d70-bf4e-3d98c913a018?source=sessions,"For many businesses, the ability to obtain meaningful insights from vast streams of data has been out of reach, until now. Join us for an exclusive session unveiling a new, redefining chapter of Real-Time Analytics. Whether you’re a business user, pro developer, or insights explorer, in this session you will discover how you can unleash the full potential of your high-volume streaming and event data and turn it into a competitive advantage.",Yitzhak Kesselman
"Wednesday, May 22",Breakout,Five lessons Etsy learned building on Microsoft AI,https://build.microsoft.com/en-US/sessions/ae85ca15-f1e5-4196-b397-48c1678800bb?source=sessions,"Join Etsy to get the inside scoop on how to leverage Microsoft AI to solve real business problems. Etsy is an online marketplace for unique and creative goods, which connects millions of buyers and sellers around the world, but with more than 100 million items their challenge is ensuring shoppers can easily find the special items they’re looking for. Leveraging powerful GPT models on the Azure OpenAI service, Etsy has launched innovative experiences like Guided Search and Gift Mode, enhancing the user journey and search functionality. During this session, you will learn practical insights and actionable strategies to capitalize on AI and create tailored technical solutions.",Rachana Kumar
"Wednesday, May 22",Breakout,Developer deep dive on building plugins for Microsoft Copilot,https://build.microsoft.com/en-US/sessions/8822feb4-ebb8-4427-9e93-67011e4d0620?source=sessions,If you have an API you have most of the ingredients for building a plugin for Microsoft Copilot. In this session you’ll have a comprehensive understanding on how to build plugins with Visual Studio Code and how these extend Microsoft Copilot and your own copilots to present a refined experience to users.,Bob German
"Wednesday, May 22",Breakout,Building the apps of the future today with Power Platform and Copilot,https://build.microsoft.com/en-US/sessions/b395930e-6f45-4464-b0d4-e820f0205cda?source=sessions,"Apps of the future are modern, collaborative, secure, and intelligent. They use generative AI to help users accomplish more with less effort, greatly improving their productivity. They are also built using collaborative and intelligent tools, so the teams building those applications can deliver value to their customer faster than ever. See live and learn how to use Copilot in Power Apps to build apps of the future, today!",Anthony Uitz
"Wednesday, May 22",Demo,Optimize RAG performance to impact your most advanced use cases,https://build.microsoft.com/en-US/sessions/8a90c5a9-f500-433e-a9d7-e8179fd8fb6c?source=sessions,"Cohere is the leading Enterprise AI platform that speaks the language of business. Join us as we walk through how generative, embedding, and reranking models fit together to create performant RAG applications. Our technical experts will demonstrate how the performance of each stage of the RAG architecture impacts your most advanced AI use cases. Additionally, we'll show how the Cohere toolkit and Langchain integrations can simplify the process and empower your developers.",David Stewart
"Wednesday, May 22",Demo,Build copilot experiences with your data on Azure OpenAI Service,https://build.microsoft.com/en-US/sessions/3041144a-5242-4923-b311-7d82b8ff6eec?source=sessions,"Remember the early days of Generative AI when ChatGPT could only provide public internet data up to 2021? Nowadays, quickly creating chatbots on top of documents and databases is becoming the new normal in Azure OpenAI Service. Get familiar with the On Your Data feature, which makes it easy for developers to deploy chat experiences on top of a growing number of data sources including Azure AI Search and CosmosDB.",Pavan Li
"Wednesday, May 22",Demo,Fixing Secret Leaks at Scale with GitHub Advanced Security,https://build.microsoft.com/en-US/sessions/0ab66d40-f474-4dbf-8a8a-9111864bf9d2?source=sessions,"Secret leaks continue to be a thorn in the side of enterprises. Join us for a demonstration on our secret scanning capabilities within GitHub Advanced Security and Azure DevOps. We’ll highlight new detection and remediation capabilities, while sharing insights on ways to scale secret scanning throughout your developer workflows. This technical session will be especially beneficial to developers, DevSecOps managers, and security professionals.",Bryan Sullivan
"Wednesday, May 22",Demo,Copilot experiences for Data Professionals,https://build.microsoft.com/en-US/sessions/43887247-b36e-4ea1-86da-2e224f6bf802?source=sessions,"If you missed the breakout session ""Copilot for data professionals - new experiences in Microsoft Fabric"" join this session for a condensed demo.",Mohammad Ali
"Wednesday, May 22",Demo,Extend Copilot for Microsoft 365 with Azure Communication Services,https://build.microsoft.com/en-US/sessions/5d59e9b5-43a8-4f84-a397-a7d9026f6dfe?source=sessions,"Extend Copilot for Microsoft 365 to communicate with external audiences through channels such as email, SMS, and WhatsApp. You can use your line of business data to quickly craft personalized messages from the Copilot interface. We will also show the latest enhancements in messaging analytics for the WhatsApp business platform.",Shawn Henry
"Wednesday, May 22",Breakout,"App innovation in the AI era: cost, benefits, and challenges",https://build.microsoft.com/en-US/sessions/e6ecc1c4-4f95-4fe7-b9e8-c49944ff612d?source=sessions,"App developers need to take advantage of the increasing presence and capabilities of artificial intelligence (AI) to build creative and user-friendly apps. However, moving current apps to the AI era can be difficult because of the high cost, complexity, and compatibility issues. In this session, we will discuss how to deal with these problems and learn from best practices of organizations that have completed app migration projects successfully.",Michael YenChi Ho
"Wednesday, May 22",Demo,Unify your ESG data with Sustainability data solutions in MS Fabric,https://build.microsoft.com/en-US/sessions/ebdf686c-25b5-4d20-b623-42514b39aa7a?source=sessions,"Learn how to use the new Sustainability data solutions in Microsoft Fabric to standardize and harmonize your ESG (Environmental, Social and Governance) data, and leverage the out-of-the-box reporting capabilities to get insights that support your organization’s sustainability goals.",Samuel Briscoe
"Wednesday, May 22",Demo,Take your data app creation from development to deployment in minutes,https://build.microsoft.com/en-US/sessions/282faa09-c7f4-490a-b3ab-9689ce5e6a28?source=sessions,"Building data applications can be complex, involving vast amounts of data and different sources. But with an integrated data stack, you can streamline the process from development to deployment in minutes. In this demo, we’ll show you how simple and quick it is to build an intelligent data app that makes product recommendations using Streamlit, Azure Open AI and Snowflake.",Matt Marzillo
