代號,日期,時長,Session type,Topic,Level,Delivery Type,Tag,Recording Availability,Programming Language,Download Video,Download Slides,Download Transcript,Resource_1,Resource_2,主題,內容,講者,標籤,下個主題1,下個主題2,下個主題3,下個主題4,下個主題5,下個主題6,下個主題7,下個主題8,下個主題9,相關1,相關2,相關3,相關4,相關5,相關6,相關7,影片,附註
BRKFP292,22,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,Copilot for Microsoft 365,Recorded,,Video,Slide,,,,AI Everywhere – Accelerate your development from the edge to cloud,"AI: edge to cloud. 
Use ONNX RT with DirectML and OpenVINO EP to accelerate generative AI models on edge devices. Accelerate cloud development and deployment using industry certified VM images. See how companies like F5 can make transition to the cloud easier while having access to Azure first party services like Azure Monitor with NGINX.","Brian Ehlert|F5 NGINX,Lior Kamrat|Microsoft,Ken Koyanagi|Intel Corporation,Brian Rogers|Intel Corporation",On Demand|Breakout|In Seattle + Online,,,,,,,,,,Accelerate development and deployment...,Optimize productivity by meeting next...,Developer-ready AI PCs - out of box s...,The Web is AI Ready—maximize your AI ...,Bring AI experiences to all your Wind...,Unleash the superpowers of the AI PC,,,"Brian Ehlert
Director, Product Management
F5 NGINX
Save to backpackLior Kamrat
Principal Product Manager Lead
Microsoft
Save to backpackKen Koyanagi
AI SW Solutions Engineer
Intel Corporation
Save to backpackBrian Rogers
Solutions Architect
Intel Corporation
Save to backpack"
KEY01,22,2 hours 27 minutes,Keynote,Other,Intermediate (200),Online,Windows,Recorded,,Video,,Transcript,,,Microsoft Build opening keynote,"Join Satya Nadella, Rajesh Jha, and Kevin Scott to learn how this era of AI will unlock new opportunities, transform how developers work and drive business productivity across industries.","Satya Nadella|Microsoft,Kevin Scott|Microsoft,Rajesh Jha|Microsoft",On Demand|Keynote|In Seattle + Online,,,,,,,,,,"Multimodel, Multimodal, and Multiagen...",Innovating Inclusive Tech: learning f...,Next generation AI for developers wit...,Transforming the future of startups w...,Disrupt and Grow with Microsoft Azure AI,From personal Copilot to group Copilo...,,,"Satya Nadella
Chairman and CEO
Microsoft


Save to backpackKevin Scott
Chief Technology Officer and EVP of AI
Microsoft













Save to backpackRajesh Jha
Executive Vice President, Experiences + Devices
Microsoft

Save to backpack"
LAB340,22,1 hour,Lab,Developer Tools,,In Seattle,,Not recorded,,,,,Resource,,Mastering GitHub Copilot for AI Paired Programming,"Unlock the power of collaborative coding with this program that seamlessly integrates AI-driven coding assistance using GitHub Copilot. Dive deep into GitHub Copilot's autocompletion, customizable features, and advanced programming techniques, all while embracing AI-driven algorithms. From error handling to unit testing, this program is tailored to instill best practices and enhance code quality, equipping you with the tools needed for success in today's dynamic software development landscape.",Brian Randell|GitHub,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Enhancing VS Code extensions with Git...,What’s new in GitHub Copilot and Visu...,Unlock potential on Azure with Micros...,Accenture’s GitHubCopilot Study,Extending GitHub Copilot,Empowering Robust Engineering: Visual...,,This session has ended,"Brian Randell
Staff Developer Advocate
GitHub
Save to backpack"
LAB301,22,1 hour,Lab,AI Development,Intermediate (200),In Seattle,Data Scientist,Not recorded,,,,,Resource,,Learn how to interact with Large Language Models,"This lab provides a hands-on and engaging learning opportunity for working with Large Language Models. Learn how to use methods such as few-shot learning and chain of thought. See the creative possibilities of generative AI for image creation and multi-modal scenarios, master the skill of function calling and understand how the model can apply existing knowledge.","Henk Boelman|Microsoft,Gustavo Cordido|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Practicalities of Fine-Tuning Llama 2...,Practical End-to-End AI Development u...,Building Gen-AI experiences using LLM...,Learn Responsible AI Practices By Deb...,Quickly deploy NVIDIA optimized gener...,Build Agentic AI Apps with the Autoge...,,This session has ended,"Henk Boelman
Senior Cloud Advocate AI & ML
Microsoft

Save to backpackGustavo Cordido
Developer Advocate
Microsoft
Save to backpack"
LAB351,22,1 hour,Lab,Low-code,,In Seattle,,Not recorded,,,,,Resource,,Developing a custom control using the Power Apps Component Framework,"Learn how to build a custom component control using Power Apps Component Framework (PCF). In this workshop, you'll create a custom component control using PCF to visualize permit inspection history timelines. This workshop provides hands-on experience with PCF and demonstrates how to build powerful custom controls for Power Apps.","Scott Durow|Microsoft,George Schweigert|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Reimagine Enterprise Website building...,May the forms be with you: a new hope...,Accelerate Microsoft Azure deployment...,Enable every developer to collaborate...,How you can develop a new breed of ap...,Empowering Robust Engineering: Visual...,,This session has ended,"Scott Durow
Cloud Developer Advocate
Microsoft
Save to backpackGeorge Schweigert
Senior Content Developer
Microsoft
Save to backpack"
BRK210,22,45 minutes,Breakout,Low-code,Advanced (300),Online,Microsoft Teams,Recorded,Power Fx,Video,Slide,Transcript,Resource,,What's new with Microsoft Copilot Studio,"Discover the latest advancements in Copilot Studio, enabling you to customize Microsoft Copilot or create your own copilot experiences. See the latest updates come to life as to how Copilot Studio is enriching its knowledge, and broadening its generative AI and development capabilities. Don’t miss this opportunity to see Copilot Studio in action and explore its potential for your organization.",Omar Aftab|Microsoft Corporation,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Build your own copilot with Microsoft...,Shaping next-gen development: the fut...,Extending Copilot for Sales with Micr...,Building a copilot: Azure AI Studio o...,Azure AI Studio - Creating and scalin...,Build Microsoft Copilot extensions wi...,,,"Omar Aftab
VP
Microsoft Corporation
Save to backpack"
BRK133,22,45 minutes,Breakout,Copilot,Advanced (300),Online,LLMs,Recorded,,Video,,Transcript,Resource,,Unlock potential on Azure with Microsoft Copilot,"Join us as we unveil the latest advancements in Microsoft Copilot within Azure. If you’re a developer, cloud admin, or database administrator, this session is for you! Discover how you can streamline onboarding, enhance troubleshooting, and unlock cutting-edge capabilities across services like AKS, SQL, Arc, CosmosDB, Cost Management, and App Services. Plus, leverage Copilot’s rich abilities to create CLI and Terraform scripts for efficient management.",,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Shaping next-gen development: the fut...,Unlock your team's potential with Mur...,Transforming user experiences with re...,Azure AI Studio - Creating and scalin...,Build Microsoft Copilot extensions wi...,Extending GitHub Copilot,,,"Ruhiyyih Mahalati
Partner Software Engineering Manager
Microsoft
Save to backpackMatt Winkler
Partner Director of PM
Microsoft
Save to backpack"
BRK167,22,45 minutes,Breakout,Data & Analytics,Advanced (300),Online,,Recorded,,Video,Slide,,Resource,,Power the next generation of AI apps with databases at scale anywhere,"Introducing a new era of cloud databases, an era where databases are built and tuned for AI apps with hyperscale performance, built-in intelligence, Copilot assistants, vector search, and Azure AI Search integration to set the foundation for innovating with AI and make app development easy. Join Shireesh Thota, Global CVP Azure Databases, to learn how to transform business apps with AI, extend your on-premises investments and modernize your workloads for growth.",,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Building AI applications that leverag...,The power of AI and Copilot for Azure...,"Discover Oracle Database@Azure, a new...",Power AI apps and develop rich experi...,Transform applications with AI and Az...,Microsoft and Oracle come together wi...,,,
BRK192,22,45 minutes,Breakout,Developer Tools,Intermediate (200),Online,Visual Studio Code,Recorded,C#,Video,Slide,Transcript,Resource,"GitHub Copilot: https://copilot.github.com/

Visual Studio 17.6: https://visualstudio.com/downloads

Microsoft Dev Box: https://aka.ms/build24/DevBox

AI Toolkit: https://aka.ms/AIToolkit

.NET Aspire: https://aka.ms/AspireGA","Maximize joy, minimize toil with great developer experiences","Focusing on the developer experience is at the heart of what we do at Microsoft. The landscape is changing and the applications you build will continue to require rethinking not just what kind of app you build, but also how you build it. Join Amanda Silver as she covers the latest evolution in developer tools and how we collaborate across the entire technology spectrum to build the next generation of modern apps, intelligent apps.","Amanda Silver|Microsoft,Shayne Boyer|Microsoft,John Lam|Microsoft,Mark Weitzel|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,Demystify cloud-native development wi...,Understanding cloud powered developme...,Platform Engineering: Creating Scalab...,Build apps from the cloud with Micros...,Leverage Azure Testing Services to bu...,Use customization to personalize Dev ...,Microsoft Dev Box for Accessibility,,"Amanda Silver
Corporate VP of Product, Developer Division
Microsoft
Save to backpackShayne Boyer
Principal PM Manager
Microsoft
Save to backpackJohn Lam
Principal Architect
Microsoft
Save to backpackMark Weitzel
Principal Architect
Microsoft
Save to backpack"
BRK227,22,45 minutes,Breakout,Security,Intermediate (200),Online,Security,Recorded,Rust,Video,Slide,Transcript,Resource,,Inside AI Security with Mark Russinovich,"Join Mark Russinovich to explore the landscape of AI security, focusing on threat modeling, defense tactics, our red teaming approaches, and the path to confidential AI. You will learn about various kinds of attacks in AI systems and our defenses, such as backdoors, poison data, prompt injection attacks, and more.",Mark Russinovich|Microsoft,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,How Microsoft Approaches AI Red Teaming,Fundamentals of AI safety and security,Secure your AI application transforma...,Inside Microsoft AI innovation with M...,Data Security Considerations for AI A...,Top-of-mind on AI with Mark Russinovich,,,"Mark Russinovich
Microsoft
Save to backpack"
BRK251,22,45 minutes,Breakout,Other,Foundational (100),Online,,Recorded,,Video,Slide,Transcript,,,Innovating Inclusive Tech: learning from the past to unlock the future,"For many people, the technology we use and the devices we own are extensions of ourselves. We want not just personalization but also experiences that delight and enable our best work. For decades, Microsoft has been advancing inclusive experiences in tech. Join a panel of experts, from engineering and research to gaming and diversity & inclusion, to discover how we collaborate and co-create across communities to enrich our product portfolio and accelerate inclusion, especially in this AI era.",,On Demand|Breakout|In Seattle + Online,,,,,,,,,,Accessibility in the era of generativ...,Unlocking AI Innovation: A Conversati...,Five lessons Etsy learned building on...,Meta & Microsoft: The future of Windo...,Microsoft Build opening keynote,Transforming the future of startups w...,,,
DEMFP862,22,15 minutes,Demo,AI Development,Advanced (300),In Seattle,AI,Not recorded,,,,,,,Employ AI on Snapdragon X Elite for code generation and image creation,"Explore the cutting-edge AI capabilities of the Snapdragon X Elite chipset as we demonstrate its integration with popular development tools. Witness firsthand how AI plugins enhance the functionality of VSCode and Gimp, streamlining workflows and fostering innovation.","Ankit Kapoor|Qualcomm Technologies, Inc.",Session Ended|Demo|In Seattle only,,,,,,,,,,Accelerate development and deployment...,Accelerate model deployment with Qual...,Realize your vision with a guide to b...,Optimize productivity by meeting next...,Quickly deploy NVIDIA optimized gener...,Unleash the superpowers of the AI PC,,This session has ended,"Ankit Kapoor
Product Manager
Qualcomm Technologies, Inc.
Save to backpack"
DEM727,22,15 minutes,Demo,Copilot,Intermediate (200),In Seattle,Microsoft Copilot,Not recorded,C/C++,,,,Resource,,Build Copilot plugins in 10 minutes with VS Code,"Learn how easy it is to create a plugin for Copilot using an ordinary REST service, VS Code and Teams Toolkit.",,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Enhancing VS Code extensions with Git...,Developer deep dive on building plugi...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,Extending GitHub Copilot,,This session has ended,
DEM710,22,15 minutes,Demo,Cloud Platform,Advanced (300),In Seattle,,Not recorded,,,,,Resource,,GenAI Gateway Capabilities in Azure API Management,"We will demonstrate how API Management can be configured for authentication and authorization for OpenAI endpoint, enforcing rate limits based on OpenAI tokens used, load balancing across multiple OpenAI endpoints and more.","Nima Kamoosi|Microsoft,Bruce Moe|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Accelerate development and deployment...,Building Gen-AI experiences using LLM...,Using AI with App Service to deploy d...,Unleash the Potential of APIs with Az...,Take an Azure OpenAI chat application...,Quickly deploy NVIDIA optimized gener...,,This session has ended,"Nima Kamoosi
Software Engineer
Microsoft
Save to backpackBruce Moe
Software Engineer
Microsoft
Save to backpack"
BRKFP290,22,45 minutes,Breakout,,Advanced (300),Online,,Recorded,,Video,Slide,,,,Accelerate model deployment with Qualcomm AI Hub,"In this session, we empower developers, machine learning engineers and AI/ML application developers with knowledge and tools to efficiently deploy optimized models on Snapdragon X-Elite using the Qualcomm AI Hub. We’ll begin with an introduction to the Qualcomm AI Hub, then walk through examples showing how to optimize models using the AI Hub. Understand how you can streamline the deployment process, enabling you to bring your AI apps to life in a matter of minutes.",,On Demand|Breakout|In Seattle + Online,,,,,,,,,,Accelerate development and deployment...,Realize your vision with a guide to b...,Building Gen-AI experiences using LLM...,Quickly deploy NVIDIA optimized gener...,Deploy Hugging Face Models on Azure p...,Spring Unlocks the Power of AI Platfo...,,,
DEMFP861,22,15 minutes,Demo,Developer Tools,Advanced (300),In Seattle,,Not recorded,,,,,,,Leverage AI-driven assistant to improve results and speed-up workflow,"There’s no denying that AI is changing the way we develop software and  the use of generative AI models is the wave of the future. Today, AI combined with natural language tools is allowing professionals of all skill sets to design, deliver and improve technology.
In this session learn how Postbot (an AI powered assistant) can help users of all technical ability:
Generate comprehensive API documentation with a single click
Design better test cases for API calls
Speed up your API testing workflow",Sterling Chin|Postman,Session Ended|Demo|In Seattle only,,,,,,,,,,Building JavaScript intelligent web a...,Practical End-to-End AI Development u...,Elevate enterprise DX with AI-powered...,Revamping the Document Automation Wor...,"With great AI power, comes great resp...",Spring Unlocks the Power of AI Platfo...,,This session has ended,"Sterling Chin
Product Manager
Postman

Save to backpack"
DEM802,22,15 minutes,Demo,AI Development,,In Seattle,,Not recorded,Python,,,,Resource,,AutoGen: Empowering Next-Gen Multi-Agent LLM Apps,The future of AI applications lies in Multi-Agent LLM applications and AutoGen is at the forefront of simplifying their implementation. The demo will showcase the power of the Multi-Agent Conversation design pattern using OpenAI Models and the AutoGen framework. We will illustrate how a team of three member agents and one manager agent collaboratively engage in a group conversation to efficiently solve a complex user task.,Cameron Vetter|New Resources Consulting,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Practical End-to-End AI Development u...,Building Gen-AI experiences using LLM...,Code-First LLMOps from prototype to p...,Quickly deploy NVIDIA optimized gener...,Give your GenAI apps a multilingual v...,Build Agentic AI Apps with the Autoge...,,This session has ended,"Cameron Vetter
AI Practice Director
New Resources Consulting
Save to backpack"
DEM780,22,15 minutes,Demo,Other,,In Seattle,,Not recorded,,,,,,,Microsoft Surface Innovation in Action,Participate in live demonstrations showcasing Surface innovation and engage with experts,"Frank Buchholz|Microsoft,Jacob Rhoades|Microsoft",Session Ended|Demo|In Seattle only,,,,,,,,,,"Multimodel, Multimodal, and Multiagen...",Innovating Inclusive Tech: learning f...,Meta & Microsoft: The future of Windo...,Unleash the Potential of APIs with Az...,Creating Seamless Cross-Device Experi...,Azure Boards New and Noteworthy,,This session has ended,"Frank Buchholz
Director of Technical Marketing - Surface
Microsoft
Save to backpackJacob Rhoades
Sr. PMM, Surface Technical Marketing
Microsoft
Save to backpack"
DEM806,22,15 minutes,Demo,Copilot,,In Seattle,,Not recorded,Power Fx,,,,Resource,,Extend your Copilot with plugins using Copilot Studio,"Copilot with plugins empowers developers to tailor their suggestions and integrate additional features and data sources seamlessly into their Copilot at work. In this demo you will see the potential of plugins in extending Copilot's capabilities and enhancing developer productivity, how plugins can enhance automation and functions, the fundamentals of creating custom Copilot plugins using Copilot Studio, and real-world examples of how to leverage plugins to streamline your automation process.",Manpreet Singh|Cognizant,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Extending Copilot for Sales with Micr...,Developer deep dive on building plugi...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,Extending GitHub Copilot,,This session has ended,"Manpreet Singh
Senior Architect - Modern Workplace
Cognizant
Save to backpack"
DEM805,22,15 minutes,Demo,Cloud Platform,,In Seattle,,Not recorded,,,,,Resource,,Optimize Azure Infrastructure as Code Deployments with VS Code,"This demo shows three  ways to optimize the authoring experience when creating Azure Infrastructure as Code templates using VS Code. We will unravel the magic behind Bicep Templates and show the power of the Bicep VS Code extension to create, maintain, and deploy your templates in a matter of minutes.",Freek Berson|Parallels,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Accelerate Microsoft Azure deployment...,Understanding cloud powered developme...,"Better together, build and deploy to ...",Azure Boards New and Noteworthy,Azure Monitor: Observability from cod...,Empowering Robust Engineering: Visual...,,This session has ended,"Freek Berson
Principal Product Manager
Parallels
Save to backpack"
DEM831,22,15 minutes,Demo,Other,,In Seattle,Microsoft Learn,Not recorded,,,,,Resource,,Navigating Microsoft Certifications,"Microsoft Certifications help validate technical proficiency aligned to the job roles businesses rely on most.

Join us for an engaging demo of all the resources available in Microsoft Learn to help you train your way, build confidence while preparing for your certification exam, and make sure your Microsoft Certification stays current.",,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Realize your vision with a guide to b...,The Latest in Windows Security for De...,.NET API development end-to-end,Meta & Microsoft: The future of Windo...,Creating Seamless Cross-Device Experi...,Azure Boards New and Noteworthy,,This session has ended,"Liberty Munson
Director of Psychometrics
Microsoft
Save to backpack"
DEMFP865,22,15 minutes,Demo,Developer Tools,Expert (400),In Seattle,Windows AI,Not recorded,C/C++,,,,,"Semantic Kernel and Astra DB: https://www.datastax.com/blog/microsoft-semantic-kernel-astra-db-integration-elevating-retrieval-augmented-generation

RAG Explained: https://www.datastax.com/guides/what-is-retrieval-augmented-generation

Astra DB documentation: https://docs.datastax.com/en/astra/astra-db-vector/integrations/semantic-kernel.html",Transform your RAG deployment at scale with real time results,"Want to learn how to build RAG (retrieval augmented generation) at scale? Attend this demo session where we’ll show you how we built WikiChat, a RAG-based chatbot for Wikipedia which updates in real time. We will demo the application and then roll up our sleeves and dig into the code which uses Microsoft Semantic Kernel, DataStax Astra DB, and Azure OpenAI.","Alex Leventer|DataStax,Greg Stachnik|DataStax",Session Ended|Demo|In Seattle only,,,,,,,,,,Advanced RAG with Azure AI Search - t...,RAG at scale: production-ready GenAI ...,Sewing up success even when RAGs unravel,Building RAG at scale with Semantic K...,Build a RAG app in minutes using Lang...,Empower your organization with produc...,,This session has ended,"Alex Leventer
Marketing
DataStax
Save to backpackGreg Stachnik
Vice President Product Management
DataStax
Save to backpack"
